instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,range,range_temp
7329,4,0,11,23,0,0,0,1,0.34,0.3485,0.87,0.0896,7,43,50,18-23,0.34-0.50
7330,4,0,11,0,0,1,1,1,0.34,0.3636,0.87,0.0,1,14,15,0-5,0.34-0.50
7331,4,0,11,1,0,1,1,1,0.34,0.3636,0.87,0.0,2,6,8,0-5,0.34-0.50
7332,4,0,11,2,0,1,1,1,0.32,0.3485,0.93,0.0,0,2,2,0-5,0-0.34
7333,4,0,11,3,0,1,1,1,0.32,0.3485,0.93,0.0,0,3,3,0-5,0-0.34
7334,4,0,11,4,0,1,1,1,0.32,0.3485,0.93,0.0,2,4,6,0-5,0-0.34
7335,4,0,11,5,0,1,1,1,0.3,0.3333,0.93,0.0,1,25,26,0-5,0-0.34
7336,4,0,11,6,0,1,1,2,0.28,0.3182,0.93,0.0,2,97,99,6-11,0-0.34
7337,4,0,11,7,0,1,1,2,0.28,0.3182,0.93,0.0,6,305,311,6-11,0-0.34
7338,4,0,11,8,0,1,1,2,0.3,0.3182,1.0,0.0896,13,397,410,6-11,0-0.34
7339,4,0,11,9,0,1,1,2,0.34,0.3333,1.0,0.1343,18,156,174,6-11,0.34-0.50
7340,4,0,11,10,0,1,1,1,0.36,0.3485,0.93,0.1343,28,95,123,6-11,0.34-0.50
7341,4,0,11,11,0,1,1,1,0.42,0.4242,0.77,0.1045,28,100,128,6-11,0.34-0.50
7342,4,0,11,12,0,1,1,1,0.46,0.4545,0.67,0.0,21,158,179,12-17,0.34-0.50
7343,4,0,11,13,0,1,1,1,0.54,0.5152,0.49,0.0896,32,157,189,12-17,0.50-0.66
7344,4,0,11,14,0,1,1,1,0.56,0.5303,0.37,0.1642,30,115,145,12-17,0.50-0.66
7345,4,0,11,15,0,1,1,1,0.56,0.5303,0.37,0.1045,38,132,170,12-17,0.50-0.66
7346,4,0,11,16,0,1,1,1,0.52,0.5,0.45,0.0,40,255,295,12-17,0.50-0.66
7347,4,0,11,17,0,1,1,1,0.5,0.4848,0.45,0.1642,39,489,528,12-17,0.50-0.66
7348,4,0,11,18,0,1,1,1,0.46,0.4545,0.59,0.1045,18,407,425,18-23,0.34-0.50
7349,4,0,11,19,0,1,1,1,0.46,0.4545,0.59,0.0,20,280,300,18-23,0.34-0.50
7350,4,0,11,20,0,1,1,1,0.4,0.4091,0.71,0.0,17,187,204,18-23,0.34-0.50
7351,4,0,11,21,0,1,1,1,0.38,0.3939,0.82,0.1045,10,129,139,18-23,0.34-0.50
7352,4,0,11,22,0,1,1,1,0.36,0.3636,0.81,0.0896,6,102,108,18-23,0.34-0.50
7353,4,0,11,23,0,1,1,1,0.36,0.3636,0.87,0.0896,1,47,48,18-23,0.34-0.50
7354,4,0,11,0,0,2,1,1,0.34,0.3485,0.87,0.0896,0,18,18,0-5,0.34-0.50
7355,4,0,11,1,0,2,1,1,0.32,0.3333,0.93,0.1045,3,8,11,0-5,0-0.34
7356,4,0,11,2,0,2,1,1,0.32,0.3485,0.87,0.0,0,1,1,0-5,0-0.34
7357,4,0,11,3,0,2,1,1,0.32,0.3485,0.87,0.0,0,3,3,0-5,0-0.34
7358,4,0,11,4,0,2,1,1,0.3,0.3333,0.87,0.0,0,4,4,0-5,0-0.34
7359,4,0,11,5,0,2,1,1,0.3,0.3182,0.87,0.0896,1,17,18,0-5,0-0.34
7360,4,0,11,6,0,2,1,1,0.3,0.3333,0.87,0.0,3,96,99,6-11,0-0.34
7361,4,0,11,7,0,2,1,1,0.3,0.3182,0.87,0.1045,7,316,323,6-11,0-0.34
7362,4,0,11,8,0,2,1,1,0.32,0.3333,0.93,0.1045,11,455,466,6-11,0-0.34
7363,4,0,11,9,0,2,1,1,0.36,0.3788,0.87,0.0,14,177,191,6-11,0.34-0.50
7364,4,0,11,10,0,2,1,1,0.42,0.4242,0.71,0.0896,25,104,129,6-11,0.34-0.50
7365,4,0,11,11,0,2,1,1,0.46,0.4545,0.63,0.1343,21,126,147,6-11,0.34-0.50
7366,4,0,11,12,0,2,1,1,0.52,0.5,0.52,0.1343,28,175,203,12-17,0.50-0.66
7367,4,0,11,13,0,2,1,1,0.54,0.5152,0.49,0.1642,31,165,196,12-17,0.50-0.66
7368,4,0,11,14,0,2,1,1,0.56,0.5303,0.46,0.1045,32,129,161,12-17,0.50-0.66
7369,4,0,11,15,0,2,1,1,0.58,0.5455,0.46,0.1045,33,155,188,12-17,0.50-0.66
7370,4,0,11,16,0,2,1,1,0.56,0.5303,0.46,0.1343,39,250,289,12-17,0.50-0.66
7371,4,0,11,17,0,2,1,1,0.52,0.5,0.43,0.1642,40,459,499,12-17,0.50-0.66
7372,4,0,11,18,0,2,1,1,0.48,0.4697,0.55,0.1343,30,432,462,18-23,0.34-0.50
7373,4,0,11,19,0,2,1,1,0.46,0.4545,0.59,0.0,14,264,278,18-23,0.34-0.50
7374,4,0,11,20,0,2,1,1,0.4,0.4091,0.76,0.0,12,169,181,18-23,0.34-0.50
7375,4,0,11,21,0,2,1,1,0.4,0.4091,0.76,0.0,16,166,182,18-23,0.34-0.50
7376,4,0,11,22,0,2,1,1,0.36,0.3788,0.87,0.0,13,95,108,18-23,0.34-0.50
7377,4,0,11,23,0,2,1,1,0.36,0.3788,0.81,0.0,3,45,48,18-23,0.34-0.50
7378,4,0,11,0,0,3,1,1,0.36,0.3788,0.87,0.0,0,13,13,0-5,0.34-0.50
7379,4,0,11,1,0,3,1,1,0.34,0.3636,0.87,0.0,0,10,10,0-5,0.34-0.50
7380,4,0,11,2,0,3,1,1,0.32,0.3485,0.93,0.0,0,5,5,0-5,0-0.34
7381,4,0,11,3,0,3,1,1,0.32,0.3485,0.93,0.0,0,4,4,0-5,0-0.34
7382,4,0,11,4,0,3,1,1,0.32,0.3485,0.87,0.0,0,4,4,0-5,0-0.34
7383,4,0,11,5,0,3,1,1,0.3,0.3333,0.87,0.0,0,28,28,0-5,0-0.34
7384,4,0,11,6,0,3,1,1,0.3,0.3333,0.87,0.0,0,98,98,6-11,0-0.34
7385,4,0,11,7,0,3,1,1,0.3,0.3333,0.87,0.0,0,300,300,6-11,0-0.34
7386,4,0,11,8,0,3,1,1,0.32,0.3485,0.93,0.0,19,437,456,6-11,0-0.34
7387,4,0,11,9,0,3,1,1,0.34,0.3636,0.93,0.0,22,197,219,6-11,0.34-0.50
7388,4,0,11,10,0,3,1,1,0.4,0.4091,0.76,0.1045,16,89,105,6-11,0.34-0.50
7389,4,0,11,11,0,3,1,1,0.46,0.4545,0.67,0.1642,21,131,152,6-11,0.34-0.50
7390,4,0,11,12,0,3,1,1,0.5,0.4848,0.51,0.1642,24,156,180,12-17,0.50-0.66
7391,4,0,11,13,0,3,1,1,0.5,0.4848,0.51,0.1642,31,136,167,12-17,0.50-0.66
7392,4,0,11,14,0,3,1,1,0.52,0.5,0.48,0.1642,26,153,179,12-17,0.50-0.66
7393,4,0,11,15,0,3,1,1,0.52,0.5,0.45,0.2239,21,130,151,12-17,0.50-0.66
7394,4,0,11,16,0,3,1,1,0.52,0.5,0.48,0.194,24,257,281,12-17,0.50-0.66
7395,4,0,11,17,0,3,1,1,0.46,0.4545,0.63,0.1045,27,458,485,12-17,0.34-0.50
7396,4,0,11,18,0,3,1,1,0.44,0.4394,0.67,0.1045,21,387,408,18-23,0.34-0.50
7397,4,0,11,19,0,3,1,1,0.44,0.4394,0.72,0.1045,12,292,304,18-23,0.34-0.50
7398,4,0,11,20,0,3,1,1,0.44,0.4394,0.77,0.0,18,201,219,18-23,0.34-0.50
7399,4,0,11,21,0,3,1,1,0.4,0.4091,0.87,0.0,9,152,161,18-23,0.34-0.50
7400,4,0,11,22,0,3,1,1,0.4,0.4091,0.87,0.0,9,105,114,18-23,0.34-0.50
7401,4,0,11,23,0,3,1,1,0.38,0.3939,0.87,0.0,5,61,66,18-23,0.34-0.50
7402,4,0,11,0,0,4,1,1,0.4,0.4091,0.87,0.0,0,24,24,0-5,0.34-0.50
7403,4,0,11,1,0,4,1,2,0.4,0.4091,0.87,0.0,1,10,11,0-5,0.34-0.50
7404,4,0,11,2,0,4,1,2,0.38,0.3939,0.94,0.0,0,5,5,0-5,0.34-0.50
7405,4,0,11,3,0,4,1,1,0.38,0.3939,0.94,0.0896,0,11,11,0-5,0.34-0.50
7406,4,0,11,4,0,4,1,1,0.38,0.3939,0.94,0.0896,1,2,3,0-5,0.34-0.50
7407,4,0,11,5,0,4,1,2,0.36,0.3485,1.0,0.1343,1,22,23,0-5,0.34-0.50
7408,4,0,11,6,0,4,1,2,0.36,0.3485,1.0,0.1343,4,110,114,6-11,0.34-0.50
7409,4,0,11,7,0,4,1,2,0.38,0.3939,0.94,0.1642,6,266,272,6-11,0.34-0.50
7410,4,0,11,8,0,4,1,2,0.4,0.4091,0.94,0.0896,18,418,436,6-11,0.34-0.50
7411,4,0,11,9,0,4,1,2,0.42,0.4242,0.94,0.1045,23,188,211,6-11,0.34-0.50
7412,4,0,11,10,0,4,1,2,0.44,0.4394,0.88,0.2239,17,100,117,6-11,0.34-0.50
7414,4,0,11,12,0,4,1,2,0.42,0.4242,0.67,0.3582,18,149,167,12-17,0.34-0.50
7415,4,0,11,13,0,4,1,3,0.36,0.3333,0.81,0.3582,9,87,96,12-17,0.34-0.50
7416,4,0,11,14,0,4,1,3,0.36,0.3333,0.87,0.2836,6,58,64,12-17,0.34-0.50
7417,4,0,11,15,0,4,1,3,0.36,0.3333,0.81,0.2985,5,57,62,12-17,0.34-0.50
7418,4,0,11,16,0,4,1,3,0.36,0.3485,0.81,0.2239,6,67,73,12-17,0.34-0.50
7419,4,0,11,17,0,4,1,3,0.36,0.3485,0.81,0.2239,9,168,177,12-17,0.34-0.50
7420,4,0,11,18,0,4,1,2,0.36,0.3485,0.81,0.1642,10,263,273,18-23,0.34-0.50
7421,4,0,11,19,0,4,1,2,0.36,0.3485,0.71,0.2239,19,192,211,18-23,0.34-0.50
7422,4,0,11,20,0,4,1,2,0.36,0.3333,0.62,0.2836,8,160,168,18-23,0.34-0.50
7423,4,0,11,21,0,4,1,1,0.36,0.3333,0.57,0.2537,6,130,136,18-23,0.34-0.50
7424,4,0,11,22,0,4,1,1,0.36,0.3333,0.53,0.2836,5,84,89,18-23,0.34-0.50
7425,4,0,11,23,0,4,1,2,0.34,0.3333,0.57,0.1642,9,73,82,18-23,0.34-0.50
7426,4,0,11,0,1,5,0,1,0.34,0.3182,0.53,0.2537,10,56,66,0-5,0.34-0.50
7427,4,0,11,1,1,5,0,1,0.32,0.303,0.57,0.3284,3,16,19,0-5,0-0.34
7428,4,0,11,2,1,5,0,1,0.32,0.2879,0.57,0.2836,1,10,11,0-5,0-0.34
7429,4,0,11,3,1,5,0,1,0.3,0.2879,0.61,0.194,0,6,6,0-5,0-0.34
7430,4,0,11,4,1,5,0,1,0.3,0.2879,0.61,0.194,0,8,8,0-5,0-0.34
7431,4,0,11,5,1,5,0,1,0.3,0.2879,0.49,0.2537,0,13,13,0-5,0-0.34
7432,4,0,11,6,1,5,0,1,0.28,0.2576,0.45,0.3284,0,46,46,6-11,0-0.34
7433,4,0,11,7,1,5,0,1,0.28,0.2727,0.45,0.2537,5,116,121,6-11,0-0.34
7434,4,0,11,8,1,5,0,1,0.3,0.2727,0.42,0.3582,9,249,258,6-11,0-0.34
7442,4,0,11,16,1,5,0,1,0.36,0.3333,0.34,0.3284,49,189,238,12-17,0.34-0.50
7443,4,0,11,17,1,5,0,1,0.34,0.303,0.39,0.3284,24,286,310,12-17,0.34-0.50
7444,4,0,11,18,1,5,0,1,0.34,0.3182,0.39,0.2537,23,185,208,18-23,0.34-0.50
7445,4,0,11,19,1,5,0,1,0.32,0.3182,0.39,0.1642,17,182,199,18-23,0-0.34
7446,4,0,11,20,1,5,0,1,0.32,0.3182,0.39,0.194,12,97,109,18-23,0-0.34
7447,4,0,11,21,1,5,0,1,0.3,0.303,0.45,0.1642,4,79,83,18-23,0-0.34
7448,4,0,11,22,1,5,0,1,0.32,0.3182,0.39,0.194,13,78,91,18-23,0-0.34
7449,4,0,11,23,1,5,0,1,0.3,0.3182,0.45,0.0896,6,67,73,18-23,0-0.34
7450,4,0,11,0,0,6,0,1,0.24,0.2424,0.6,0.1343,12,52,64,0-5,0-0.34
7451,4,0,11,1,0,6,0,1,0.24,0.2424,0.6,0.1343,9,45,54,0-5,0-0.34
7452,4,0,11,2,0,6,0,1,0.24,0.2576,0.65,0.0896,7,39,46,0-5,0-0.34
7453,4,0,11,3,0,6,0,1,0.24,0.2424,0.7,0.1343,4,13,17,0-5,0-0.34
7454,4,0,11,4,0,6,0,1,0.2,0.2121,0.8,0.1343,0,7,7,0-5,0-0.34
7455,4,0,11,5,0,6,0,1,0.22,0.2576,0.75,0.0896,1,3,4,0-5,0-0.34
7456,4,0,11,6,0,6,0,1,0.22,0.2273,0.75,0.1642,0,7,7,6-11,0-0.34
7457,4,0,11,7,0,6,0,1,0.22,0.2273,0.75,0.194,3,24,27,6-11,0-0.34
7458,4,0,11,8,0,6,0,1,0.26,0.2576,0.7,0.194,14,87,101,6-11,0-0.34
7459,4,0,11,9,0,6,0,1,0.3,0.303,0.61,0.1642,18,142,160,6-11,0-0.34
7460,4,0,11,10,0,6,0,1,0.34,0.3182,0.61,0.2836,62,170,232,6-11,0.34-0.50
7461,4,0,11,11,0,6,0,1,0.38,0.3939,0.54,0.2836,102,213,315,6-11,0.34-0.50
7462,4,0,11,12,0,6,0,1,0.44,0.4394,0.44,0.2836,142,224,366,12-17,0.34-0.50
7463,4,0,11,13,0,6,0,1,0.48,0.4697,0.36,0.2836,128,225,353,12-17,0.34-0.50
7464,4,0,11,14,0,6,0,1,0.5,0.4848,0.36,0.2985,191,244,435,12-17,0.50-0.66
7465,4,0,11,15,0,6,0,1,0.52,0.5,0.29,0.2836,165,221,386,12-17,0.50-0.66
7466,4,0,11,16,0,6,0,1,0.52,0.5,0.32,0.2537,137,224,361,12-17,0.50-0.66
7467,4,0,11,17,0,6,0,1,0.5,0.4848,0.34,0.2537,92,193,285,12-17,0.50-0.66
7468,4,0,11,18,0,6,0,1,0.42,0.4242,0.58,0.194,53,150,203,18-23,0.34-0.50
7469,4,0,11,19,0,6,0,1,0.42,0.4242,0.5,0.2537,32,139,171,18-23,0.34-0.50
7470,4,0,11,20,0,6,0,1,0.42,0.4242,0.5,0.2836,31,101,132,18-23,0.34-0.50
7471,4,0,11,21,0,6,0,1,0.42,0.4242,0.47,0.2836,19,103,122,18-23,0.34-0.50
7472,4,0,11,22,0,6,0,1,0.42,0.4242,0.47,0.2537,30,88,118,18-23,0.34-0.50
7473,4,0,11,23,0,6,0,1,0.4,0.4091,0.58,0.1642,23,78,101,18-23,0.34-0.50
7474,4,0,11,0,0,0,0,2,0.4,0.4091,0.58,0.194,12,61,73,0-5,0.34-0.50
7475,4,0,11,1,0,0,0,2,0.36,0.3485,0.66,0.194,13,58,71,0-5,0.34-0.50
7476,4,0,11,2,0,0,0,1,0.36,0.3636,0.57,0.1045,9,48,57,0-5,0.34-0.50
7477,4,0,11,3,0,0,0,2,0.36,0.3485,0.62,0.1343,8,20,28,0-5,0.34-0.50
7478,4,0,11,4,0,0,0,2,0.36,0.3485,0.62,0.1343,1,5,6,0-5,0.34-0.50
7479,4,0,11,5,0,0,0,1,0.34,0.3333,0.61,0.1642,2,3,5,0-5,0.34-0.50
7480,4,0,11,6,0,0,0,1,0.34,0.3333,0.66,0.1343,5,18,23,6-11,0.34-0.50
7481,4,0,11,7,0,0,0,1,0.34,0.3182,0.66,0.2239,13,30,43,6-11,0.34-0.50
7482,4,0,11,8,0,0,0,1,0.34,0.3485,0.66,0.0896,24,55,79,6-11,0.34-0.50
7483,4,0,11,9,0,0,0,1,0.4,0.4091,0.54,0.2836,38,97,135,6-11,0.34-0.50
7484,4,0,11,10,0,0,0,1,0.44,0.4394,0.44,0.3284,63,178,241,6-11,0.34-0.50
7489,4,0,11,15,0,0,0,2,0.5,0.4848,0.42,0.3284,89,221,310,12-17,0.50-0.66
7491,4,0,11,17,0,0,0,1,0.52,0.5,0.27,0.3284,44,187,231,12-17,0.50-0.66
7492,4,0,11,18,0,0,0,1,0.52,0.5,0.27,0.3284,35,155,190,18-23,0.50-0.66
7493,4,0,11,19,0,0,0,1,0.5,0.4848,0.29,0.3582,36,121,157,18-23,0.50-0.66
7494,4,0,11,20,0,0,0,1,0.5,0.4848,0.31,0.3582,24,115,139,18-23,0.50-0.66
7495,4,0,11,21,0,0,0,1,0.48,0.4697,0.36,0.2537,19,76,95,18-23,0.34-0.50
7497,4,0,11,23,0,0,0,1,0.46,0.4545,0.51,0.2985,18,49,67,18-23,0.34-0.50
7498,4,0,11,0,0,1,1,1,0.46,0.4545,0.59,0.2836,8,22,30,0-5,0.34-0.50
7499,4,0,11,1,0,1,1,1,0.46,0.4545,0.63,0.2985,5,6,11,0-5,0.34-0.50
7500,4,0,11,2,0,1,1,1,0.46,0.4545,0.63,0.3582,7,10,17,0-5,0.34-0.50
7501,4,0,11,3,0,1,1,1,0.44,0.4394,0.67,0.2836,4,3,7,0-5,0.34-0.50
7502,4,0,11,4,0,1,1,1,0.44,0.4394,0.67,0.2239,0,5,5,0-5,0.34-0.50
7503,4,0,11,5,0,1,1,2,0.44,0.4394,0.67,0.2537,0,19,19,0-5,0.34-0.50
7504,4,0,11,6,0,1,1,2,0.44,0.4394,0.72,0.2239,10,104,114,6-11,0.34-0.50
7505,4,0,11,7,0,1,1,1,0.44,0.4394,0.72,0.2537,11,311,322,6-11,0.34-0.50
7506,4,0,11,8,0,1,1,2,0.46,0.4545,0.67,0.194,27,425,452,6-11,0.34-0.50
7507,4,0,11,9,0,1,1,2,0.48,0.4697,0.67,0.3284,29,204,233,6-11,0.34-0.50
7508,4,0,11,10,0,1,1,2,0.5,0.4848,0.63,0.2836,26,85,111,6-11,0.50-0.66
7509,4,0,11,11,0,1,1,2,0.54,0.5152,0.6,0.2836,22,106,128,6-11,0.50-0.66
7510,4,0,11,12,0,1,1,1,0.56,0.5303,0.56,0.2985,36,166,202,12-17,0.50-0.66
7513,4,0,11,15,0,1,1,1,0.64,0.6212,0.44,0.3284,53,142,195,12-17,0.50-0.66
7515,4,0,11,17,0,1,1,1,0.62,0.6212,0.46,0.2537,55,464,519,12-17,0.50-0.66
7516,4,0,11,18,0,1,1,1,0.56,0.5303,0.56,0.2836,29,460,489,18-23,0.50-0.66
7517,4,0,11,19,0,1,1,1,0.6,0.6212,0.53,0.2985,28,274,302,18-23,0.50-0.66
7518,4,0,11,20,0,1,1,1,0.6,0.6212,0.53,0.3582,30,210,240,18-23,0.50-0.66
7519,4,0,11,21,0,1,1,1,0.6,0.6212,0.53,0.3582,37,176,213,18-23,0.50-0.66
7520,4,0,11,22,0,1,1,1,0.58,0.5455,0.56,0.3582,17,96,113,18-23,0.50-0.66
7521,4,0,11,23,0,1,1,1,0.56,0.5303,0.64,0.2985,13,48,61,18-23,0.50-0.66
7522,4,0,11,0,0,2,1,1,0.56,0.5303,0.64,0.3582,7,15,22,0-5,0.50-0.66
7523,4,0,11,1,0,2,1,1,0.56,0.5303,0.6,0.2985,5,5,10,0-5,0.50-0.66
7524,4,0,11,2,0,2,1,1,0.56,0.5303,0.64,0.2537,7,8,15,0-5,0.50-0.66
7525,4,0,11,3,0,2,1,2,0.54,0.5152,0.68,0.3284,0,4,4,0-5,0.50-0.66
7526,4,0,11,4,0,2,1,1,0.56,0.5303,0.64,0.2985,1,6,7,0-5,0.50-0.66
7527,4,0,11,5,0,2,1,1,0.54,0.5152,0.68,0.2836,2,26,28,0-5,0.50-0.66
7528,4,0,11,6,0,2,1,2,0.56,0.5303,0.64,0.0896,4,104,108,6-11,0.50-0.66
7529,4,0,11,7,0,2,1,2,0.54,0.5152,0.68,0.1642,21,298,319,6-11,0.50-0.66
7530,4,0,11,8,0,2,1,2,0.54,0.5152,0.68,0.1045,27,453,480,6-11,0.50-0.66
7531,4,0,11,9,0,2,1,2,0.56,0.5303,0.64,0.0896,26,174,200,6-11,0.50-0.66
7532,4,0,11,10,0,2,1,2,0.56,0.5303,0.64,0.2836,23,115,138,6-11,0.50-0.66
7533,4,0,11,11,0,2,1,2,0.56,0.5303,0.64,0.194,18,116,134,6-11,0.50-0.66
7534,4,0,11,12,0,2,1,2,0.54,0.5152,0.68,0.0,28,148,176,12-17,0.50-0.66
7535,4,0,11,13,0,2,1,3,0.54,0.5152,0.6,0.2239,21,132,153,12-17,0.50-0.66
7536,4,0,11,14,0,2,1,2,0.54,0.5152,0.6,0.2836,27,120,147,12-17,0.50-0.66
7537,4,0,11,15,0,2,1,2,0.54,0.5152,0.6,0.1343,36,155,191,12-17,0.50-0.66
7538,4,0,11,16,0,2,1,2,0.52,0.5,0.68,0.1343,31,240,271,12-17,0.50-0.66
7539,4,0,11,17,0,2,1,2,0.5,0.4848,0.72,0.194,29,422,451,12-17,0.50-0.66
7540,4,0,11,18,0,2,1,2,0.5,0.4848,0.72,0.2836,27,414,441,18-23,0.50-0.66
7541,4,0,11,19,0,2,1,2,0.5,0.4848,0.72,0.3582,27,259,286,18-23,0.50-0.66
7542,4,0,11,20,0,2,1,2,0.48,0.4697,0.82,0.1343,26,212,238,18-23,0.34-0.50
7543,4,0,11,21,0,2,1,2,0.5,0.4848,0.77,0.0896,23,145,168,18-23,0.50-0.66
7544,4,0,11,22,0,2,1,2,0.46,0.4545,0.88,0.1045,19,109,128,18-23,0.34-0.50
7545,4,0,11,23,0,2,1,2,0.46,0.4545,0.94,0.1045,14,66,80,18-23,0.34-0.50
7546,4,0,11,0,0,3,1,2,0.46,0.4545,0.94,0.0,5,26,31,0-5,0.34-0.50
7547,4,0,11,1,0,3,1,3,0.46,0.4545,0.94,0.0896,0,5,5,0-5,0.34-0.50
7548,4,0,11,2,0,3,1,2,0.46,0.4545,0.94,0.1045,4,6,10,0-5,0.34-0.50
7549,4,0,11,3,0,3,1,2,0.46,0.4545,0.94,0.1045,2,3,5,0-5,0.34-0.50
7550,4,0,11,4,0,3,1,2,0.44,0.4394,1.0,0.2239,1,3,4,0-5,0.34-0.50
7551,4,0,11,5,0,3,1,3,0.46,0.4545,0.94,0.1045,0,13,13,0-5,0.34-0.50
7552,4,0,11,6,0,3,1,2,0.46,0.4545,0.94,0.0896,4,52,56,6-11,0.34-0.50
7553,4,0,11,7,0,3,1,3,0.46,0.4545,0.94,0.0,7,130,137,6-11,0.34-0.50
7554,4,0,11,8,0,3,1,3,0.46,0.4545,0.94,0.0,9,223,232,6-11,0.34-0.50
7555,4,0,11,9,0,3,1,3,0.46,0.4545,0.94,0.0,5,77,82,6-11,0.34-0.50
7556,4,0,11,10,0,3,1,3,0.46,0.4545,0.94,0.0,4,32,36,6-11,0.34-0.50
7557,4,0,11,11,0,3,1,3,0.46,0.4545,0.94,0.0896,7,53,60,6-11,0.34-0.50
7558,4,0,11,12,0,3,1,3,0.46,0.4545,1.0,0.0,5,49,54,12-17,0.34-0.50
7559,4,0,11,13,0,3,1,3,0.46,0.4545,0.94,0.1343,6,52,58,12-17,0.34-0.50
7560,4,0,11,14,0,3,1,2,0.46,0.4545,1.0,0.1343,12,49,61,12-17,0.34-0.50
7561,4,0,11,15,0,3,1,3,0.48,0.4697,0.94,0.1045,16,50,66,12-17,0.34-0.50
7562,4,0,11,16,0,3,1,3,0.48,0.4697,0.94,0.1045,13,110,123,12-17,0.34-0.50
7563,4,0,11,17,0,3,1,2,0.48,0.4697,0.88,0.194,17,216,233,12-17,0.34-0.50
7567,4,0,11,21,0,3,1,3,0.44,0.4394,0.88,0.2836,3,72,75,18-23,0.34-0.50
7568,4,0,11,22,0,3,1,3,0.42,0.4242,0.88,0.2239,1,45,46,18-23,0.34-0.50
7569,4,0,11,23,0,3,1,3,0.42,0.4242,0.88,0.1343,3,28,31,18-23,0.34-0.50
7570,4,0,11,0,0,4,1,2,0.42,0.4242,0.88,0.2537,2,22,24,0-5,0.34-0.50
7571,4,0,11,1,0,4,1,2,0.42,0.4242,0.82,0.1642,0,5,5,0-5,0.34-0.50
7572,4,0,11,2,0,4,1,2,0.42,0.4242,0.82,0.2239,0,5,5,0-5,0.34-0.50
7573,4,0,11,3,0,4,1,2,0.42,0.4242,0.77,0.3284,0,3,3,0-5,0.34-0.50
7575,4,0,11,5,0,4,1,3,0.34,0.303,0.71,0.3284,1,21,22,0-5,0.34-0.50
7576,4,0,11,6,0,4,1,3,0.36,0.3485,0.57,0.2239,3,72,75,6-11,0.34-0.50
7577,4,0,11,7,0,4,1,3,0.34,0.3182,0.61,0.2836,4,164,168,6-11,0.34-0.50
7578,4,0,11,8,0,4,1,3,0.34,0.303,0.61,0.2985,12,343,355,6-11,0.34-0.50
7579,4,0,11,9,0,4,1,2,0.34,0.303,0.61,0.3284,14,184,198,6-11,0.34-0.50
7580,4,0,11,10,0,4,1,2,0.34,0.303,0.61,0.3284,7,74,81,6-11,0.34-0.50
7581,4,0,11,11,0,4,1,3,0.32,0.303,0.66,0.3284,4,93,97,6-11,0-0.34
7582,4,0,11,12,0,4,1,2,0.34,0.303,0.53,0.2985,6,115,121,12-17,0.34-0.50
7588,4,0,11,18,0,4,1,1,0.32,0.3182,0.39,0.194,9,298,307,18-23,0-0.34
7589,4,0,11,19,0,4,1,1,0.3,0.2879,0.45,0.2239,7,210,217,18-23,0-0.34
7590,4,0,11,20,0,4,1,1,0.3,0.2879,0.42,0.2836,7,162,169,18-23,0-0.34
7591,4,0,11,21,0,4,1,1,0.3,0.2879,0.42,0.2537,3,113,116,18-23,0-0.34
7592,4,0,11,22,0,4,1,1,0.26,0.2424,0.52,0.2537,1,83,84,18-23,0-0.34
7593,4,0,11,23,0,4,1,1,0.26,0.2576,0.52,0.2239,0,58,58,18-23,0-0.34
7594,4,0,11,0,0,5,1,1,0.26,0.2576,0.48,0.1642,2,28,30,0-5,0-0.34
7595,4,0,11,1,0,5,1,1,0.26,0.2273,0.44,0.3284,0,10,10,0-5,0-0.34
7596,4,0,11,2,0,5,1,1,0.24,0.2273,0.44,0.2239,2,8,10,0-5,0-0.34
7597,4,0,11,3,0,5,1,1,0.24,0.2121,0.41,0.2836,0,2,2,0-5,0-0.34
7598,4,0,11,4,0,5,1,1,0.22,0.2273,0.44,0.1642,0,5,5,0-5,0-0.34
7599,4,0,11,5,0,5,1,1,0.22,0.2273,0.44,0.1343,0,22,22,0-5,0-0.34
7600,4,0,11,6,0,5,1,1,0.22,0.2576,0.44,0.0896,1,70,71,6-11,0-0.34
7601,4,0,11,7,0,5,1,1,0.22,0.2273,0.44,0.1642,5,211,216,6-11,0-0.34
7602,4,0,11,8,0,5,1,1,0.22,0.2273,0.44,0.194,6,369,375,6-11,0-0.34
7603,4,0,11,9,0,5,1,1,0.26,0.2576,0.41,0.194,6,207,213,6-11,0-0.34
7604,4,0,11,10,0,5,1,1,0.26,0.2424,0.41,0.2836,10,105,115,6-11,0-0.34
7605,4,0,11,11,0,5,1,1,0.3,0.303,0.36,0.1343,18,122,140,6-11,0-0.34
7606,4,0,11,12,0,5,1,1,0.32,0.3333,0.33,0.0,22,143,165,12-17,0-0.34
7607,4,0,11,13,0,5,1,1,0.34,0.3182,0.31,0.2239,31,146,177,12-17,0.34-0.50
7608,4,0,11,14,0,5,1,1,0.34,0.3333,0.31,0.1343,31,123,154,12-17,0.34-0.50
7609,4,0,11,15,0,5,1,1,0.34,0.3333,0.29,0.1343,27,151,178,12-17,0.34-0.50
7610,4,0,11,16,0,5,1,1,0.34,0.3333,0.29,0.1343,19,190,209,12-17,0.34-0.50
7611,4,0,11,17,0,5,1,1,0.32,0.3333,0.31,0.1343,17,361,378,12-17,0-0.34
